#name	name2
ENST00000371007.6	C1orf141
ENST00000371006.5	C1orf141
ENST00000475209.6	C1orf141
ENST00000621590.4	C1orf141
ENST00000263946.7	PKP1
ENST00000367324.7	PKP1
ENST00000352845.3	PKP1
ENST00000337907.7	RERE
ENST00000400908.7	RERE
ENST00000377464.5	RERE
ENST00000400907.6	RERE
ENST00000476556.5	RERE
ENST00000373381.8	CSMD2
ENST00000373388.6	CSMD2
ENST00000619121.4	CSMD2
ENST00000637377.1	AL136985.3
ENST00000636386.1	AL136985.3
ENST00000370859.7	SLC44A5
ENST00000370855.5	SLC44A5
ENST00000260505.13	TTLL7
ENST00000370360.8	GLMN
ENST00000356554.7	MAN1A2
ENST00000368947.9	ANXA9
ENST00000431862.1	AL513323.1
ENST00000359523.7	MPZL1
ENST00000392121.7	MPZL1
ENST00000474859.5	MPZL1
ENST00000367669.8	COP1
ENST00000308769.12	COP1
ENST00000235307.7	C1orf21
ENST00000646606.1	AL390957.1
ENST00000657453.1	AL390957.1
ENST00000441672.1	HSD11B1-AS1
ENST00000367028.6	HSD11B1
ENST00000367027.5	HSD11B1
ENST00000651370.1	AL391832.4
ENST00000366541.8	SDCCAG8
ENST00000379370.7	AGRN
ENST00000620552.4	AGRN
ENST00000400921.6	PRKCZ
ENST00000511072.5	PRDM16
ENST00000378391.6	PRDM16
ENST00000270722.10	PRDM16
ENST00000514189.5	PRDM16
ENST00000608083.5	ACOT7
ENST00000377842.7	ACOT7
ENST00000377845.7	ACOT7
ENST00000377855.6	ACOT7
ENST00000545482.5	ACOT7
ENST00000361521.8	ACOT7
ENST00000303635.12	CAMTA1
ENST00000356607.9	PEX14
ENST00000294484.7	DISP3
ENST00000304391.6	DISP3
ENST00000616661.5	DHRS3
ENST00000636203.1	KAZN
ENST00000376030.7	KAZN
ENST00000503743.5	KAZN
ENST00000375799.8	PLEKHM2
ENST00000375793.2	PLEKHM2
ENST00000642363.1	PLEKHM2
ENST00000453804.1	AL450998.3
ENST00000375406.2	ACTL8
ENST00000617065.1	ACTL8
ENST00000290597.9	ALDH4A1
ENST00000375341.8	ALDH4A1
ENST00000538839.5	ALDH4A1
ENST00000538309.5	ALDH4A1
ENST00000375116.3	PLA2G2E
ENST00000374935.7	EIF4G3
ENST00000264211.12	EIF4G3
ENST00000602326.5	EIF4G3
ENST00000400422.6	EIF4G3
ENST00000634879.1	EIF4G3
ENST00000356916.7	EIF4G3
ENST00000650360.1	AL590556.3
ENST00000465864.2	KDM1A
ENST00000356634.7	KDM1A
ENST00000400181.8	KDM1A
ENST00000427154.1	AL031428.1
ENST00000319394.8	WDTC1
ENST00000361771.7	WDTC1
ENST00000480336.1	AL033529.1
ENST00000427468.6	EPHA10
ENST00000373048.9	EPHA10
ENST00000540011.2	EPHA10
ENST00000641481.1	AL354702.2
ENST00000641963.1	AL354702.2
ENST00000316891.10	TRIT1
ENST00000537440.5	TRIT1
ENST00000441669.6	TRIT1
ENST00000372818.5	TRIT1
ENST00000541099.5	TRIT1
ENST00000653200.1	SLC2A1-AS1
ENST00000664148.1	SLC2A1-AS1
ENST00000657086.1	AL139220.2
ENST00000359600.6	ZSWIM5
ENST00000540385.2	AL358075.4
ENST00000452785.2	AL358075.2
ENST00000294338.7	PDZK1IP1
ENST00000371885.1	PDZK1IP1
ENST00000533824.5	SLC5A9
ENST00000438567.6	SLC5A9
ENST00000236495.9	SLC5A9
ENST00000371839.6	AGBL4
ENST00000371838.5	AGBL4
ENST00000371836.1	AGBL4
ENST00000371730.6	EPS15
ENST00000371733.8	EPS15
ENST00000257177.9	TUT4
ENST00000371544.7	TUT4
ENST00000646341.1	AL603840.1
ENST00000443012.1	AL035416.1
ENST00000635290.1	AC099792.1
ENST00000634701.1	AC099792.1
ENST00000642238.1	PATJ
ENST00000316485.11	PATJ
ENST00000371158.6	PATJ
ENST00000613764.4	PATJ
ENST00000371079.6	ROR1
ENST00000371080.5	ROR1
ENST00000672434.1	JAK1
ENST00000671954.1	JAK1
ENST00000673502.1	JAK1
ENST00000329654.8	PDE4B
ENST00000423207.6	PDE4B
ENST00000420587.5	GNG12-AS1
ENST00000413628.5	GNG12-AS1
ENST00000354777.6	WLS
ENST00000262348.9	WLS
ENST00000370976.7	WLS
ENST00000661832.1	LINC01707
ENST00000654734.1	ZRANB2-AS2
ENST00000671179.1	ZRANB2-AS2
ENST00000583678.6	ZRANB2-AS2
ENST00000670550.1	ZRANB2-AS2
ENST00000653965.1	AL513166.1
ENST00000665984.1	AL513166.1
ENST00000557284.6	FPGT-TNNI3K
ENST00000370899.7	FPGT-TNNI3K
ENST00000326637.8	TNNI3K
ENST00000328299.4	ST6GALNAC3
ENST00000370801.8	AC118549.1
ENST00000370798.5	AC118549.1
ENST00000370751.10	IFI44L
ENST00000370721.5	ADGRL2
ENST00000370723.5	ADGRL2
ENST00000370725.5	ADGRL2
ENST00000370727.5	ADGRL2
ENST00000370728.5	ADGRL2
ENST00000370730.5	ADGRL2
ENST00000359929.7	ADGRL2
ENST00000650063.1	AL157944.1
ENST00000370608.8	MCOLN2
ENST00000284027.5	MCOLN2
ENST00000370571.7	COL24A1
ENST00000370550.10	HS2ST1
ENST00000370551.8	HS2ST1
ENST00000370548.3	AC093155.3
ENST00000642677.1	PKN2-AS1
ENST00000645056.1	PKN2-AS1
ENST00000654891.1	AC104459.1
ENST00000451302.6	CCDC18-AS1
ENST00000661111.1	CCDC18-AS1
ENST00000421202.6	CCDC18-AS1
ENST00000436200.2	CCDC18-AS1
ENST00000656153.1	ARHGAP29-AS1
ENST00000370192.8	DPYD
ENST00000648951.1	LINC01709
ENST00000657394.1	LINC01709
ENST00000663157.1	LINC01709
ENST00000656484.1	LINC01709
ENST00000554808.1	LINC01397
ENST00000545121.5	CEPT1
ENST00000357172.9	CEPT1
ENST00000615636.4	CEPT1
ENST00000425449.1	NGF-AS1
ENST00000295598.10	ATP1A1
ENST00000537345.5	ATP1A1
ENST00000369496.8	ATP1A1
ENST00000608511.6	ATP1A1-AS1
ENST00000441760.2	FP700111.1
ENST00000582693.5	RNF115
ENST00000530472.5	PDE4DIP
ENST00000524974.5	PDE4DIP
ENST00000620605.4	PDE4DIP
ENST00000585156.5	PDE4DIP
ENST00000618462.4	PDE4DIP
ENST00000464103.5	PDE4DIP
ENST00000369356.8	PDE4DIP
ENST00000369354.7	PDE4DIP
ENST00000369347.8	PDE4DIP
ENST00000369349.7	PDE4DIP
ENST00000369351.7	PDE4DIP
ENST00000581312.6	OTUD7B
ENST00000368559.7	NUP210L
